spotcheck_rank,planned_row_identity,experiment_family,orbit_unit_id,source_case_id,condition_identity,realization_identity,selection_rule
17,r3row_3471bbe4d892c7d2e768bdcf,segment_local_heatmap_and_direction_sensitivity,orbit_unit_52c84639e4263a6e03ea2932,legacy_synthetic_M2_block_65409_synthetic_same_plane_altitude_offset_-1_boundary_case_R50_d5_phi270_seg0_current_bk,condition_55bcb1a5e1b8524d10bcc541,sample_index_global:58,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
18,r3row_527da532912255cce004cb71,controlled_altitude_difference_synthetic_B,orbit_unit_6c6f22037e3f5ea4fa507005,altitude_observation_b8620f15aee95d45badb73d0:current_bk:315.0,altitude_geometry_68055704081cb7da547cb0b4,altitude_observation_b8620f15aee95d45badb73d0,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
19,r3row_b53a64bd02482cb72c61f172,controlled_altitude_difference_synthetic_B,orbit_unit_b1e4aebc72cedb71f12d7005,altitude_observation_2e7f48d95d6e6f6cde8fb7f9:current_bk:180.0,altitude_geometry_857003033ee5cd085257fc2c,altitude_observation_2e7f48d95d6e6f6cde8fb7f9,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
20,r3row_97868521b6b37e1d5519e22a,controlled_altitude_difference_synthetic_B,orbit_unit_33c927fc472951a1d7040d0f,altitude_observation_4f9ae7d22f1f3ce48953d74b:current_bk:135.0,altitude_geometry_acdad1de9298b06013ed2c08,altitude_observation_4f9ae7d22f1f3ce48953d74b,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
21,r3row_1878c330add10c68578cd5d0,segment_local_heatmap_and_direction_sensitivity,orbit_unit_ebdb3d51bcde8a467940cc71,real_tle_candidate_M2_block_65409_47749_ordinary_similar_R200_d20_phi90_seg0_current_bk,condition_2f858686450d95189a206647,sample_index_global:30,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
22,r3row_5d1da2a5e3d99fcc29556969,controlled_altitude_difference_synthetic_B,orbit_unit_6f3262d3b84e804b4f2ef371,altitude_observation_f18ea1fb629d8bb0e463f701:current_bk:90.0,altitude_geometry_9ca15ff3b18f407d8e99df17,altitude_observation_f18ea1fb629d8bb0e463f701,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
23,r3row_533ccb6d87c7ce9c6a2d3cfc,same_pair_multi_pass_real_TLE,orbit_unit_7f0c99e21a52875d5689e262,observation_44884933039e56b208bb800e:current_bk,geometry_dee5d5c2380dd5b1970535ff,observation_44884933039e56b208bb800e,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
24,r3row_d6c39b8fbce010985348cf06,segment_local_heatmap_and_direction_sensitivity,orbit_unit_931c23f3cb9115dcb3bc09bb,real_tle_candidate_M2_block_65410_65686_boundary_case_R50_d50_phi180_seg0_current_bk,condition_f8abba0b3e24ebad819dda9e,sample_index_global:45,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
25,r3row_360832da0a5ac88311abd5be,controlled_altitude_difference_synthetic_B,orbit_unit_126fb126e25f4fcb1512de00,altitude_observation_af255539fc3490e5ea54d99b:current_bk:135.0,altitude_geometry_df5ee6e4c9f5e411e8f4d2b9,altitude_observation_af255539fc3490e5ea54d99b,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
26,r3row_5b97a0012049407112bf00dc,controlled_altitude_difference_synthetic_B,orbit_unit_69663af7a25b4af65f866787,altitude_observation_7ed91d4c173375b3ef9e5478:current_bk:315.0,altitude_geometry_187363158d6a7b9194d75d6f,altitude_observation_7ed91d4c173375b3ef9e5478,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
27,r3row_f03832c46b159e2535500afd,active_compensation_first_pass,orbit_unit_4049d2046071d80eef315b42,active_comp_000474,condition_877a81e78a100939c74b2e4d,active_comp_000474,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
28,r3row_545d6d606a813dac286df3d4,active_compensation_first_pass,orbit_unit_7eb62bffa9207967c37ce987,active_comp_000499,condition_1bc243cd65d819dd544fd0f4,active_comp_000499,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
29,r3row_5bdf7c3f720644963e50e896,active_compensation_first_pass,orbit_unit_812f05a5b480962313951faf,active_comp_000211,condition_86f611aee4a338f01262b592,active_comp_000211,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
30,r3row_11d392051d2a8ab05ff5539e,active_compensation_first_pass,orbit_unit_aefff8a8a226f04ac8eef7cb,active_comp_000339,condition_a6b5fccced09ebbc4c1f1bb4,active_comp_000339,"4 distinct units per family, then lowest SHA256(R3_SPOTCHECK_V1|planned_row_identity) to 30"
